"hour.horizon","mean","sd"
"1",0.0,10.00
"2",0.0,10.00
"3",0.0,10.00
"4",0.0,10.00
"5",0.0,10.00
"6",0.0,10.00
"7",0.0,10.00
"8",0.0,10.00
"9",0.0,10.00
"10",0.0,10.00
"11",0.0,10.00
"12",0.0,10.00
"13",0.0,10.00
"14",0.0,10.00
"15",0.0,10.00
"16",0.0,10.00
"17",0.0,10.00
"18",0.0,10.00
"19",0.0,10.00
"20",0.0,10.00
"21",0.0,10.00
"22",0.0,10.00
"23",0.0,10.00
"24",0.0,10.00
"25",0.0,10.00
"26",0.0,10.00
"27",0.0,10.00
"28",0.0,10.00
"29",0.0,10.00
"30",0.0,10.00
"31",0.0,10.00
"32",0.0,10.00
"33",0.0,10.00
"34",0.0,10.00
"35",0.0,10.00
"36",0.0,10.00
